ItemNo,Description,ProductCode,ColourCode,ColourDesc,SizeCode,SizeDesc,Weight,Category,Stock,StockLevel,StockDueDate,EAN,Stock in 7 Days,Stock in 30 Days
101MR2XL,UC101 - Maroon - XXL - 220GSM Classic Poloshirt,UC101,MR,Maroon,2XL,XX Large,0,POLOSHIRT,22,22,,5055682000539,0,360
101MR3XL,UC101 - Maroon - 3XL - 220GSM Classic Poloshirt,UC101,MR,Maroon,3XL,XXXL Large,0,POLOSHIRT,324,324,,5055682000546,,
101MR4XL,UC101 - Maroon - 4XL - 220GSM Classic Poloshirt,UC101,MR,Maroon,4XL,XXXXL Large,0,POLOSHIRT,69,69,,5055682000553,0,60
101MRLR,UC101 - Maroon - Large - 220GSM Classic Poloshirt,UC101,MR,Maroon,L,Large,0,POLOSHIRT,1000,1000,,5055682000515,0,2040
101MRMD,UC101 - Maroon - Med - 220GSM Classic Poloshirt,UC101,MR,Maroon,M,Medium,0,POLOSHIRT,648,648,,5055682000508,0,2100
101MRSM,UC101 - Maroon - Small - 220GSM Classic Poloshirt,UC101,MR,Maroon,S,Small,0,POLOSHIRT,586,586,,5055682000492,0,300
101MRXL,UC101 - Maroon - XL - 220GSM Classic Poloshirt,UC101,MR,Maroon,XL,X Large,0,POLOSHIRT,1000,1000,,5055682000522,0,900
101MRXS,UC101 - Maroon - XS - 220GSM Classic Poloshirt,UC101,MR,Maroon,XS,Xtra Small,0,POLOSHIRT,299,299,,5055682000485,,
101NY2XL,UC101 - Navy - XXL - 220GSM Classic Poloshirt,UC101,NY,Navy,2XL,XX Large,0,POLOSHIRT,0,0,05/01/2022,5055682000614,0,8340
101NY3XL,UC101 - Navy - 3XL - 220GSM Classic Poloshirt,UC101,NY,Navy,3XL,XXXL Large,0,POLOSHIRT,0,0,11/01/2022,5055682000621,0,3690
101NY4XL,UC101 - Navy - 4XL - 220GSM Classic Poloshirt,UC101,NY,Navy,4XL,XXXXL Large,0,POLOSHIRT,164,164,,5055682000638,0,1860
101NY5XL,UC101 - Navy - 5XL - 220GSM Classic Poloshirt,UC101,NY,Navy,5XL,5XL,0,POLOSHIRT,0,0,11/01/2022,5055682040030,0,490
101NY6XL,UC101 - Navy - 6XL - 220GSM Classic Poloshirt,UC101,NY,Navy,6XL,6XL,0,POLOSHIRT,0,0,12/01/2022,5055682045905,0,190
101NYLR,UC101 - Navy - Large - 220GSM Classic Poloshirt,UC101,NY,Navy,L,Large,0,POLOSHIRT,0,0,04/01/2022,5055682000591,0,30420
101NYMD,UC101 - Navy - Med - 220GSM Classic Poloshirt,UC101,NY,Navy,M,Medium,0,POLOSHIRT,0,0,04/01/2022,5055682000584,0,25060
101NYSM,UC101 - Navy - Small - 220GSM Classic Poloshirt,UC101,NY,Navy,S,Small,0,POLOSHIRT,0,0,07/01/2022,5055682000577,0,10880
101NYXL,UC101 - Navy - XL - 220GSM Classic Poloshirt,UC101,NY,Navy,XL,X Large,0,POLOSHIRT,0,0,04/01/2022,5055682000607,0,14960
101NYXS,UC101 - Navy - XS - 220GSM Classic Poloshirt,UC101,NY,Navy,XS,Xtra Small,0,POLOSHIRT,0,0,06/01/2022,5055682000560,0,2680
101OR2XL,UC101 - Orange - XXL - 220GSM Classic Poloshirt,UC101,OR,Orange,2XL,XX Large,0,POLOSHIRT,100,100,,5055682000690,0,60
101OR3XL,UC101 - Orange - 3XL - 220GSM Classic Poloshirt,UC101,OR,Orange,3XL,XXXL Large,0,POLOSHIRT,51,51,,5055682000706,0,300
101OR4XL,UC101 - Orange - 4XL - 220GSM Classic Poloshirt,UC101,OR,Orange,4XL,XXXXL Large,0,POLOSHIRT,0,0,19/01/2022,5055682000713,0,40
101ORLR,UC101 - Orange - Large - 220GSM Classic Poloshirt,UC101,OR,Orange,L,Large,0,POLOSHIRT,0,0,28/01/2022,5055682000676,0,0
101ORMD,UC101 - Orange - Med - 220GSM Classic Poloshirt,UC101,OR,Orange,M,Medium,0,POLOSHIRT,0,0,06/01/2022,5055682000669,0,190
101ORSM,UC101 - Orange - Small - 220GSM Classic Poloshirt,UC101,OR,Orange,S,Small,0,POLOSHIRT,302,302,,5055682000652,0,60
101ORXL,UC101 - Orange - XL - 220GSM Classic Poloshirt,UC101,OR,Orange,XL,X Large,0,POLOSHIRT,0,0,28/01/2022,5055682000683,0,0
101ORXS,UC101 - Orange - XS - 220GSM Classic Poloshirt,UC101,OR,Orange,XS,Xtra Small,0,POLOSHIRT,399,399,,5055682000645,,
101PR2XL,UC101 - Purple - XXL - 220GSM Classic Poloshirt,UC101,PR,Purple,2XL,XX Large,0,POLOSHIRT,338,338,,5055682000775,0,420
101PR3XL,UC101 - Purple - 3XL - 220GSM Classic Poloshirt,UC101,PR,Purple,3XL,XXXL Large,0,POLOSHIRT,0,0,05/01/2022,5055682000782,0,360
101PR4XL,UC101 - Purple - 4XL - 220GSM Classic Poloshirt,UC101,PR,Purple,4XL,XXXXL Large,0,POLOSHIRT,115,115,,5055682000799,0,120
101PRLR,UC101 - Purple - Large - 220GSM Classic Poloshirt,UC101,PR,Purple,L,Large,0,POLOSHIRT,1000,1000,,5055682000751,0,2220
101PRMD,UC101 - Purple - Med - 220GSM Classic Poloshirt,UC101,PR,Purple,M,Medium,0,POLOSHIRT,1000,1000,,5055682000744,0,4020
101PRSM,UC101 - Purple - Small - 220GSM Classic Poloshirt,UC101,PR,Purple,S,Small,0,POLOSHIRT,1000,1000,,5055682000737,0,1620
101PRXL,UC101 - Purple - XL - 220GSM Classic Poloshirt,UC101,PR,Purple,XL,X Large,0,POLOSHIRT,628,628,,5055682000768,0,1740
101PRXS,UC101 - Purple - XS - 220GSM Classic Poloshirt,UC101,PR,Purple,XS,Xtra Small,0,POLOSHIRT,1000,1000,,5055682000720,,
101RD2XL,UC101 - Red - XXL - 220GSM Classic Poloshirt,UC101,RD,Red,2XL,XX Large,0,POLOSHIRT,569,569,,5055682000850,0,840
101RD3XL,UC101 - Red - 3XL - 220GSM Classic Poloshirt,UC101,RD,Red,3XL,XXXL Large,0,POLOSHIRT,361,361,,5055682000867,0,240
101RD4XL,UC101 - Red - 4XL - 220GSM Classic Poloshirt,UC101,RD,Red,4XL,XXXXL Large,0,POLOSHIRT,205,205,,5055682000874,0,60
101RDLR,UC101 - Red - Large - 220GSM Classic Poloshirt,UC101,RD,Red,L,Large,0,POLOSHIRT,1000,1000,,5055682000836,0,3000
101RDMD,UC101 - Red - Med - 220GSM Classic Poloshirt,UC101,RD,Red,M,Medium,0,POLOSHIRT,1000,1000,,5055682000829,0,3360
101RDSM,UC101 - Red - Small - 220GSM Classic Poloshirt,UC101,RD,Red,S,Small,0,POLOSHIRT,1000,1000,,5055682000812,0,2880
101RDXL,UC101 - Red - XL - 220GSM Classic Poloshirt,UC101,RD,Red,XL,X Large,0,POLOSHIRT,1000,1000,,5055682000843,0,540
101RDXS,UC101 - Red - XS - 220GSM Classic Poloshirt,UC101,RD,Red,XS,Xtra Small,0,POLOSHIRT,357,357,,5055682000805,0,180
101RY2XL,UC101 - Royal - XXL - 220GSM Classic Poloshirt,UC101,RY,Royal,2XL,XX Large,0,POLOSHIRT,688,688,,5055682000935,0,600
101RY3XL,UC101 - Royal - 3XL - 220GSM Classic Poloshirt,UC101,RY,Royal,3XL,XXXL Large,0,POLOSHIRT,75,75,,5055682000942,0,660
101RY4XL,UC101 - Royal - 4XL - 220GSM Classic Poloshirt,UC101,RY,Royal,4XL,XXXXL Large,0,POLOSHIRT,483,483,,5055682000959,0,240
101RY5XL,UC101 - Royal - 5XL - 220GSM Classic Poloshirt,UC101,RY,Royal,5XL,5XL,0,POLOSHIRT,321,321,,5055682040047,,
101RYLR,UC101 - Royal - Large - 220GSM Classic Poloshirt,UC101,RY,Royal,L,Large,0,POLOSHIRT,8,8,,5055682000911,0,5390
101RYMD,UC101 - Royal - Med - 220GSM Classic Poloshirt,UC101,RY,Royal,M,Medium,0,POLOSHIRT,0,0,07/01/2022,5055682000904,0,4590
101RYSM,UC101 - Royal - Small - 220GSM Classic Poloshirt,UC101,RY,Royal,S,Small,0,POLOSHIRT,0,0,07/01/2022,5055682000898,0,3410
101RYXL,UC101 - Royal - XL - 220GSM Classic Poloshirt,UC101,RY,Royal,XL,X Large,0,POLOSHIRT,0,0,10/01/2022,5055682000928,0,3710
101RYXS,UC101 - Royal - XS - 220GSM Classic Poloshirt,UC101,RY,Royal,XS,Xtra Small,0,POLOSHIRT,1000,1000,,5055682000881,0,480
101SK2XL,UC101 - Sky - XXL - 220GSM Classic Poloshirt,UC101,SK,Sky,2XL,XX Large,0,POLOSHIRT,415,415,,5055682001017,0,1740
101SK3XL,UC101 - Sky - 3XL - 220GSM Classic Poloshirt,UC101,SK,Sky,3XL,XXXL Large,0,POLOSHIRT,0,0,05/01/2022,5055682001024,0,420
101SK4XL,UC101 - Sky - 4XL - 220GSM Classic Poloshirt,UC101,SK,Sky,4XL,XXXXL Large,0,POLOSHIRT,58,58,,5055682001031,0,240
101SKLR,UC101 - Sky - Large - 220GSM Classic Poloshirt,UC101,SK,Sky,L,Large,0,POLOSHIRT,1000,1000,,5055682000997,0,6180
101SKMD,UC101 - Sky - Med - 220GSM Classic Poloshirt,UC101,SK,Sky,M,Medium,0,POLOSHIRT,1000,1000,,5055682000980,0,5460
101SKSM,UC101 - Sky - Small - 220GSM Classic Poloshirt,UC101,SK,Sky,S,Small,0,POLOSHIRT,679,679,,5055682000973,0,4020
101SKXL,UC101 - Sky - XL - 220GSM Classic Poloshirt,UC101,SK,Sky,XL,X Large,0,POLOSHIRT,545,545,,5055682001000,0,4980
101SKXS,UC101 - Sky - XS - 220GSM Classic Poloshirt,UC101,SK,Sky,XS,Xtra Small,0,POLOSHIRT,0,0,05/01/2022,5055682000966,0,840
101SP2XL,UC101 - Sapphire Blue-2XL-220GSM Classic Poloshirt,UC101,SP,Sapphire Blue,2XL,XX Large,0,POLOSHIRT,566,566,,5055682049446,0,180
101SP3XL,UC101 - Sapphire Blue-3XL-220GSM Classic Poloshirt,UC101,SP,Sapphire Blue,3XL,XXXL Large,0,POLOSHIRT,132,132,,5055682049453,0,120
101SP4XL,UC101 - Sapphire Blue-4XL-220GSM Classic Poloshirt,UC101,SP,Sapphire Blue,4XL,XXXXL Large,0,POLOSHIRT,610,610,,5055682049460,,
101SPLR,UC101 - Sapphire Blue-LR- 220GSM Classic Poloshirt,UC101,SP,Sapphire Blue,L,Large,0,POLOSHIRT,0,0,05/01/2022,5055682049477,0,1330
101SPMD,UC101 - Sapphire Blue-MD- 220GSM Classic Poloshirt,UC101,SP,Sapphire Blue,M,Medium,0,POLOSHIRT,6,6,,5055682049484,0,1620
101SPSM,UC101 - Sapphire Blue-S- 220GSM Classic Poloshirt,UC101,SP,Sapphire Blue,S,Small,0,POLOSHIRT,0,0,05/01/2022,5055682049491,0,700
101SPXL,UC101 - Sapphire Blue-XL- 220GSM Classic Poloshirt,UC101,SP,Sapphire Blue,XL,X Large,0,POLOSHIRT,0,0,07/01/2022,5055682049507,0,230
101SPXS,UC101 - Sapphire Blue-XS- 220GSM Classic Poloshirt,UC101,SP,Sapphire Blue,XS,Xtra Small,0,POLOSHIRT,164,164,,5055682049514,0,480
101WH2XL,UC101 - White - XXL - 220GSM Classic Poloshirt,UC101,WH,White,2XL,XX Large,0,POLOSHIRT,55,55,,5055682001093,0,240
101WH3XL,UC101 - White - 3XL - 220GSM Classic Poloshirt,UC101,WH,White,3XL,XXXL Large,0,POLOSHIRT,0,0,19/01/2022,5055682001109,0,330
101WH4XL,UC101 - White - 4XL - 220GSM Classic Poloshirt,UC101,WH,White,4XL,XXXXL Large,0,POLOSHIRT,0,0,28/01/2022,5055682001116,,
101WH5XL,UC101 - White - 5XL - 220GSM Classic Poloshirt,UC101,WH,White,5XL,5XL,0,POLOSHIRT,0,0,28/01/2022,5055682040054,,
101WHLR,UC101 - White - Large - 220GSM Classic Poloshirt,UC101,WH,White,L,Large,0,POLOSHIRT,838,838,,5055682001079,0,2220
101WHMD,UC101 - White - Med - 220GSM Classic Poloshirt,UC101,WH,White,M,Medium,0,POLOSHIRT,0,0,05/01/2022,5055682001062,0,2690
101WHSM,UC101 - White - Small - 220GSM Classic Poloshirt,UC101,WH,White,S,Small,0,POLOSHIRT,240,240,,5055682001055,0,2100
101WHXL,UC101 - White - XL - 220GSM Classic Poloshirt,UC101,WH,White,XL,X Large,0,POLOSHIRT,432,432,,5055682001086,0,1920
101WHXS,UC101 - White - XS - 220GSM Classic Poloshirt,UC101,WH,White,XS,Xtra Small,0,POLOSHIRT,429,429,,5055682001048,0,960
101YW2XL,UC101 - Yellow - XXL - 220GSM Classic Poloshirt,UC101,YW,Yellow,2XL,XX Large,0,POLOSHIRT,85,85,,5055682001178,0,120
101YW3XL,UC101 - Yellow - 3XL - 220GSM Classic Poloshirt,UC101,YW,Yellow,3XL,XXXL Large,0,POLOSHIRT,273,273,,5055682001185,0,60
101YW4XL,UC101 - Yellow - 4XL - 220GSM Classic Poloshirt,UC101,YW,Yellow,4XL,XXXXL Large,0,POLOSHIRT,42,42,,5055682001192,,
101YWLR,UC101 - Yellow - Large - 220GSM Classic Poloshirt,UC101,YW,Yellow,L,Large,0,POLOSHIRT,0,0,05/01/2022,5055682001154,0,580
101YWMD,UC101 - Yellow - Med - 220GSM Classic Poloshirt,UC101,YW,Yellow,M,Medium,0,POLOSHIRT,58,58,,5055682001147,0,780
101YWSM,UC101 - Yellow - Small - 220GSM Classic Poloshirt,UC101,YW,Yellow,S,Small,0,POLOSHIRT,0,0,05/01/2022,5055682001130,0,520
101YWXL,UC101 - Yellow - XL - 220GSM Classic Poloshirt,UC101,YW,Yellow,XL,X Large,0,POLOSHIRT,120,120,,5055682001161,0,360
101YWXS,UC101 - Yellow - XS - 220GSM Classic Poloshirt,UC101,YW,Yellow,XS,Xtra Small,0,POLOSHIRT,193,193,,5055682001123,0,60
102BG2XL,UC102 - Bottle Green - XXL - 250GSM Premium Poloshirt,UC102,BG,Bottle Green,2XL,XX Large,0,POLOSHIRT,152,152,,5055682001338,,
102BG3XL,UC102 - Bottle Green - 3XL - 250GSM Premium Poloshirt,UC102,BG,Bottle Green,3XL,XXXL Large,0,POLOSHIRT,141,141,,5055682001345,,
102BG4XL,UC102 - Bottle Green - 4XL - 250GSM Premium Poloshirt,UC102,BG,Bottle Green,4XL,XXXXL Large,0,POLOSHIRT,158,158,,5055682001352,,
102BGLR,UC102 - Bottle Green - Large - 250GSM Premium Poloshirt,UC102,BG,Bottle Green,L,Large,0,POLOSHIRT,278,278,,5055682001314,,
102BGMD,UC102 - Bottle Green - Med - 250GSM Premium Poloshirt,UC102,BG,Bottle Green,M,Medium,0,POLOSHIRT,536,536,,5055682001307,0,80
102BGSM,UC102 - Bottle Green - Small - 250GSM Premium Poloshirt,UC102,BG,Bottle Green,S,Small,0,POLOSHIRT,489,489,,5055682001291,0,40
102BGXL,UC102 - Bottle Green - XL - 250GSM Premium Poloshirt,UC102,BG,Bottle Green,XL,X Large,0,POLOSHIRT,64,64,,5055682001321,,
102BGXS,UC102 - Bottle Green - XS - 250GSM Premium Poloshirt,UC102,BG,Bottle Green,XS,Xtra Small,0,POLOSHIRT,697,697,,5055682001284,,
102BK2XL,UC102 - Black - XXL - 250GSM Premium Poloshirt,UC102,BK,Black,2XL,XX Large,0,POLOSHIRT,273,273,,5055682001253,0,840
102BK3XL,UC102 - Black - 3XL - 250GSM Premium Poloshirt,UC102,BK,Black,3XL,XXXL Large,0,POLOSHIRT,112,112,,5055682001260,0,440
102BK4XL,UC102 - Black - 4XL - 250GSM Premium Poloshirt,UC102,BK,Black,4XL,XXXXL Large,0,POLOSHIRT,160,160,,5055682001277,0,120
102BK5XL,UC102 - Black - 5XL - 250GSM Premium Poloshirt,UC102,BK,Black,5XL,5XL,0,POLOSHIRT,101,101,,5055682045912,0,40
102BK6XL,UC102 - Black - 6XL - 250GSM Premium Poloshirt,UC102,BK,Black,6XL,6XL,0,POLOSHIRT,0,0,11/01/2022,5055682045929,0,60
102BKLR,UC102 - Black - Large - 250GSM Premium Poloshirt,UC102,BK,Black,L,Large,0,POLOSHIRT,0,0,05/01/2022,5055682001239,0,5850
102BKMD,UC102 - Black - Med - 250GSM Premium Poloshirt,UC102,BK,Black,M,Medium,0,POLOSHIRT,0,0,06/01/2022,5055682001222,0,4480
102BKSM,UC102 - Black - Small - 250GSM Premium Poloshirt,UC102,BK,Black,S,Small,0,POLOSHIRT,0,0,06/01/2022,5055682001215,0,1760
102BKXL,UC102 - Black - XL - 250GSM Premium Poloshirt,UC102,BK,Black,XL,X Large,0,POLOSHIRT,694,694,,5055682001246,0,2600
102BKXS,UC102 - Black - XS - 250GSM Premium Poloshirt,UC102,BK,Black,XS,Xtra Small,0,POLOSHIRT,945,945,,5055682001208,,
102FN2XL,UC102 - French Navy - 2XL - 220GSM Premium Poloshirt,UC102,FN,French Navy,2XL,XX Large,0,POLOSHIRT,212,212,,5055682048623,,
102FN3XL,UC102 - French Navy - 3XL - 220GSM Premium Poloshirt,UC102,FN,French Navy,3XL,XXXL Large,0,POLOSHIRT,242,242,,5055682048630,,
102FN4XL,UC102 - French Navy - 4XL - 220GSM Premium Poloshirt,UC102,FN,French Navy,4XL,XXXXL Large,0,POLOSHIRT,346,346,,5055682048647,0,40
